,austria_industry_4.0.pdf,bd_2024.pdf,india_2018.pdf,uruguay_2019.pdf,analysis_report_austria_industry_4.0.pdf,analysis_report_austria_industry_4.0_MERGED.pdf,analysis_report_bd_2024.pdf,analysis_report_india_2018.pdf,analysis_report_india_2018_MERGED.pdf,analysis_report_uruguay_2019.pdf,analysis_report_uruguay_2019_MERGED.pdf,african_union_2022.pdf,australia_sept_2024.pdf,china_2017.pdf,egypt_2022.pdf,india_2018.pdf,mexico_2018.pdf,us_2023.pdf
austria_industry_4.0.pdf,100,73.4,75.95,65.9,80.79,95.37,67.23,68.07,76.01,61.88,66.27,62.81,63.75,66.41,76.91,75.95,79.33,64.27
bd_2024.pdf,73.4,100,90.06,89.43,68.45,74.43,85.96,81.6,90.15,82.83,89.68,69.03,88.86,84.5,90.34,90.06,86.15,88.76
india_2018.pdf,75.95,90.06,100,86.49,70.87,77.27,87,87.08,99.99,80.28,86.77,70.13,82.98,87.65,94.93,100,88.92,78.68
uruguay_2019.pdf,65.9,89.43,86.49,100,64.3,68.48,83.06,78.07,86.56,88.98,99.48,70.26,92.14,80.32,88.46,86.49,82.46,82.05
analysis_report_austria_industry_4.0.pdf,80.79,68.45,70.87,64.3,100,94.75,81.52,84.04,71.57,76.6,68.29,68.09,63.09,63.73,71.27,70.87,77.37,58.31
analysis_report_austria_industry_4.0_MERGED.pdf,95.37,74.43,77.27,68.48,94.75,100,77.95,79.69,77.65,72.6,70.73,68.74,66.66,68.45,77.96,77.27,82.33,64.37
analysis_report_bd_2024.pdf,67.23,85.96,87,83.06,81.52,77.95,100,95.15,87.6,91.05,86.45,69.49,81.1,80.45,85.87,87,85.18,75.2
analysis_report_india_2018.pdf,68.07,81.6,87.08,78.07,84.04,79.69,95.15,100,87.84,88.26,81.85,72.21,76.8,77.86,84.58,87.08,84.8,70.29
analysis_report_india_2018_MERGED.pdf,76.01,90.15,99.99,86.56,71.57,77.65,87.6,87.84,100,80.86,86.96,70.48,83.12,87.68,94.98,99.99,89.15,78.73
analysis_report_uruguay_2019.pdf,61.88,82.83,80.28,88.98,76.6,72.6,91.05,88.26,80.86,100,93.16,71.46,86.58,72.38,81.97,80.28,84.06,74.86
analysis_report_uruguay_2019_MERGED.pdf,66.27,89.68,86.77,99.48,68.29,70.73,86.45,81.85,86.96,93.16,100,71.88,92.68,80.1,88.72,86.77,84.41,82.03
african_union_2022.pdf,62.81,69.03,70.13,70.26,68.09,68.74,69.49,72.21,70.48,71.46,71.88,100,72.48,52.58,67.78,70.13,71.28,69.6
australia_sept_2024.pdf,63.75,88.86,82.98,92.14,63.09,66.66,81.1,76.8,83.12,86.58,92.68,72.48,100,72.79,82.61,82.98,78.61,87.49
china_2017.pdf,66.41,84.5,87.65,80.32,63.73,68.45,80.45,77.86,87.68,72.38,80.1,52.58,72.79,100,87.17,87.65,81.2,70.67
egypt_2022.pdf,76.91,90.34,94.93,88.46,71.27,77.96,85.87,84.58,94.98,81.97,88.72,67.78,82.61,87.17,100,94.93,90.25,79.18
india_2018.pdf,75.95,90.06,100,86.49,70.87,77.27,87,87.08,99.99,80.28,86.77,70.13,82.98,87.65,94.93,100,88.92,78.68
mexico_2018.pdf,79.33,86.15,88.92,82.46,77.37,82.33,85.18,84.8,89.15,84.06,84.41,71.28,78.61,81.2,90.25,88.92,100,79.15
us_2023.pdf,64.27,88.76,78.68,82.05,58.31,64.37,75.2,70.29,78.73,74.86,82.03,69.6,87.49,70.67,79.18,78.68,79.15,100
